עבודה,מדגם,תאריך קבלה,תאריך דיגום,תאריך סיום,שם חומר,אזור,ישוב,מגדל,חלקה,חלק חומר,בור,עומק ישן,עומק מ-,עומק עד,גידול,זן,כנה,הערת מדגם,רוויה %,pH,מוליכות חשמ. dS/m,"כלוריד מא""ק/ל'","נתרן מא""ק/ל'","סידן+מגניון מא""ק/ל'",--,--,SAR,--,גיר כללי %,גיר פעיל %,--,חול %,סילט %,חרסית %,מרקם קוד,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-
29095,11228,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,1,1,0,25,,,,,106.9,6.6,1.42,2.48,1.71,16,,,0.6,,17.472,3.88,,34.2,27.8,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11229,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,1,2,25,50,,,,,70.4,7.4,0.74,0.86,1.486,5.5,,,0.9,,25.116,10.72,,30.2,23.8,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11230,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,1,3,50,90,,,,,56.5,7.6,0.55,1.4,,4.02,,,,,41.132,11.8,,40.2,27.8,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11231,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,1,4,90,130,,,,,64.42,7.6,1.09,1.48,8.133,3.02,,,6.62,,56.784,18.44,,36.2,29.8,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11232,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,2,1,0,20,,,,,78.08,7.2,1.12,2.04,2.188,12.94,,,0.86,,20.384,8.5,,26.2,21.8,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11233,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,2,2,20,40,,,,,81.17,7.5,0.53,1.06,1.7,4.72,,,1.11,,25.116,8.46,,24.2,19.8,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11234,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,2,3,40,70,,,,,79.43,7.5,2.67,21.84,13.643,13.92,,,5.17,,30.576,11.11,,26.2,17.8,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11235,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,2,4,70,130,,,,,79.33,7.5,6.67,61.04,41.571,32.15,,,10.37,,24.388,12.83,,32.2,19.8,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11236,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 17,קרקע,2,5,130,170,,,,,88.35,7.4,6.26,52.4,44.143,23.9,,,12.77,,28.028,11.5,,28.2,19.8,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11237,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,3,1,0,40,,,,,76.85,7.3,1.28,2.86,2.125,10.18,,,0.94,,15.652,2.51,,27,21.8,51.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
